FP1,FP2,F3,F4,C3,C4,P3,P4,01,02,F7,F8,P7,P8,Fz,Cz,Pz,FC1,FC2,CP1,CP2,FC5,FC6,CP5,CP6,EMG1,EMG2,IO,EMG3,EMG4
6,8,-4,-3,4,4,3,1,-34,16,1,-3,7,13,2,8,11,2,-9,4,-92,4,-6,-1,-11,3070,2222,-26,-4230,3050
26,26,15,10,16,19,15,20,19,32,13,20,0,34,19,20,17,18,19,19,24,15,26,10,21,2626,-1297,12,596,-940
21,36,14,9,21,22,25,23,24,14,13,15,17,38,18,21,21,19,24,24,35,13,6,15,25,-1197,1004,-42,794,2568
-8,-9,-9,-10,-9,-8,-7,-8,-7,18,-10,-14,7,12,-9,-15,-4,-12,-8,-4,-36,-6,-15,-7,-10,2646,-1860,-71,-663,-3774
0,-12,-7,1,-6,-1,-1,1,3,1,-2,-4,8,2,-5,-5,3,-7,1,-2,8,-6,-1,-2,1,4270,-1046,28,475,-866
1,4,0,-4,0,0,1,1,-3,-2,1,0,-10,-4,3,1,2,5,2,0,-8,-2,-7,-3,-7,-2128,1832,12,-1746,-541
-4,-4,-7,-2,-4,-5,-6,-13,-26,-11,-5,-12,-10,-15,-6,-21,-3,-4,1,-3,-68,-1,-9,-6,-14,1524,446,-42,-2444,1112
9,9,10,9,7,10,8,9,16,24,10,13,-4,11,5,13,3,11,4,9,37,13,8,9,5,-1944,1036,71,1608,1850
-23,-18,-18,-24,-20,-15,-27,-12,-58,-50,-25,-28,-31,-24,-20,-35,-31,-17,-32,-20,-38,-20,-31,-23,-38,-3724,2748,68,-2834,-4364
-5,-2,-29,-24,-21,-18,-14,-10,-5,2,-14,-10,2,-15,-20,-22,-12,-23,-20,-17,-17,-16,-3,-16,-7,722,-772,11,-143,433
9,8,-34,-36,-18,-17,-14,-6,3,-13,-17,-8,5,8,-26,-13,-9,-22,-19,-11,7,-23,-14,-22,-16,1923,-1558,68,1452,1034
-43,-50,-48,-33,-49,-48,-48,-60,4,-66,-38,-38,-49,-37,-51,-49,-28,-45,-3,-45,8,-34,-44,-38,-41,-3780,-3147,54,1587,3788
-17,-14,-10,-16,-5,-10,-12,-15,-9,-15,-14,-18,4,-13,-11,-11,-16,-14,-22,-13,-19,-16,-23,-12,-15,-248,-1822,-14,-1050,-1787
-1,-2,9,19,8,7,6,8,2,10,10,7,0,-4,11,7,6,8,8,5,8,9,13,5,9,-234,-866,-3,-800,-2064
-3,-1,-7,-9,-7,-4,-4,-2,6,-21,-6,-4,-5,12,-11,-7,-10,-6,-14,-6,13,-8,-9,-3,-11,-4036,-1880,2,3460,-1176
18,17,17,12,13,22,16,20,-17,67,20,17,5,13,12,7,15,14,19,17,-42,17,11,19,6,-365,77,-74,-2906,-738
13,10,11,1,11,12,11,6,1,39,11,4,21,-14,7,1,3,9,-2,0,-103,10,5,20,-8,-1478,-1586,-86,-2868,78
-14,-32,-17,-17,-19,-17,-16,-19,-32,-10,-13,-15,-2,-18,-22,-16,-18,-20,-18,-20,-19,-16,-21,-16,-26,-802,1096,18,312,211
-16,-13,-15,-14,-13,-14,-15,-29,-21,-12,-12,-17,-29,-16,-14,-24,-6,-13,-13,-18,-43,-12,-16,-10,-12,1842,-287,-56,-2657,2702
14,16,-4,-7,3,6,3,11,10,19,-1,7,-5,8,0,4,5,1,5,7,12,-1,8,4,13,342,-1324,10,808,2560
33,31,20,13,23,28,23,33,25,46,16,21,17,21,24,25,33,24,24,26,28,11,30,9,24,1764,1928,5,258,848
3,2,7,6,5,10,10,4,12,22,10,4,1,-15,6,-3,8,4,8,5,-16,9,3,14,4,2660,-2034,-64,-1223,-4434
9,8,13,13,8,17,11,15,14,14,16,14,-1,-7,13,11,13,10,11,13,4,10,13,16,15,704,-1369,18,-306,1164
-5,-15,1,9,-5,-3,-8,-1,-1,-1,5,0,13,-4,3,-2,-5,1,1,-7,-1,0,-3,-7,-5,202,-322,4,-256,-1252
-2,-10,-3,-4,-3,-4,2,-5,18,2,-1,0,0,3,-6,1,-5,-3,-2,-3,0,1,-8,-2,-7,858,-781,-100,1668,-2169
4,7,-1,5,1,1,-1,6,-5,28,-1,3,-1,29,1,14,2,4,-6,5,-21,-4,3,-7,-1,-3362,-100,60,-2908,2658
28,20,26,21,25,26,21,15,16,25,22,18,24,17,25,18,11,23,28,20,15,23,24,24,18,-677,-1094,-22,3194,-1304
8,21,1,-11,-1,-2,-9,-7,-10,-7,3,5,1,-17,2,0,-8,3,0,-4,-3,1,11,-5,-5,-216,-245,-2,-174,-766
-28,-32,-35,-16,-35,-26,-27,-31,12,153,-28,-26,-25,-35,-35,-5,-22,-31,4,-17,-31,-22,-25,-26,-22,-4068,-3442,41,1668,-3904
-30,-29,-38,-27,-34,-23,-37,-34,-15,192,-27,-29,-40,-19,-32,-28,-35,-32,-15,-31,-73,-29,-30,-33,-24,-4234,2782,43,590,-4102
19,17,11,18,14,17,15,11,21,-2,16,15,9,19,14,12,24,13,31,10,-12,8,20,12,21,3278,2626,-2,-2776,3292
-20,-15,-10,-17,-16,-12,-18,-1,-43,-60,-18,-15,-34,-27,-18,-26,-17,-16,-30,-13,-29,-5,-12,-11,-30,-2071,352,94,-2577,-3742
-1,-8,-3,-3,-3,-3,3,-6,16,3,0,1,0,-2,-5,1,-4,-3,-2,-3,0,3,-6,0,-5,811,-695,-98,1722,-2123
-1,-5,2,0,2,-6,4,-11,8,10,2,-1,-10,-10,3,-2,-2,3,1,2,4,6,-7,6,-11,748,-355,-114,1258,-2092
-4,14,20,25,14,13,16,21,4,28,11,10,-2,-5,16,14,17,16,14,14,11,12,16,17,19,-844,553,-6,160,766
30,44,25,29,28,40,22,35,20,24,31,32,2,25,36,36,32,29,32,35,46,19,39,21,38,-870,-1388,26,-2376,1594
4,-2,7,18,5,7,5,9,4,14,11,10,3,2,11,6,6,7,8,3,8,8,17,2,11,-54,-610,0,-552,-1861
3,13,-20,-23,-13,-1,-8,2,-2,0,-14,-10,12,-20,-15,-12,-2,-13,-7,-9,-10,-9,-5,-18,0,-1939,1828,16,-1487,-1289
-8,0,-3,5,-3,3,-2,2,11,26,-2,-2,-8,3,2,4,1,-1,9,3,14,-1,-3,-7,9,-473,-822,-62,768,-2250
0,3,-1,5,2,10,5,11,-13,-8,-3,2,10,9,0,47,-1,4,1,-2,-6,-4,0,-4,3,-4827,1618,-16,2196,-920
-15,3,7,8,-1,-1,1,1,-2,11,2,-2,5,-15,-1,-4,-2,2,0,-4,-16,3,-4,-1,-7,-2499,3102,23,734,-2794
15,22,17,14,22,16,29,24,23,26,11,13,17,25,18,15,27,14,15,23,9,12,15,27,24,194,-97,0,574,-552
21,22,13,6,18,18,20,15,12,16,5,9,2,19,12,15,14,13,12,17,2,12,16,23,20,-1650,-2013,-18,-330,-1680
20,22,25,32,25,22,27,32,50,-15,15,27,25,12,20,60,15,25,37,23,65,19,33,20,39,-3422,2891,-27,1047,-3520
16,20,11,17,10,13,9,15,6,27,14,15,18,14,13,21,12,16,5,16,-11,9,18,2,12,-3390,-62,66,-2854,2786
10,34,30,16,19,22,15,9,8,28,20,17,0,30,26,16,7,21,26,15,15,17,21,18,8,-751,-1092,-31,2990,-323
13,26,22,10,22,21,18,16,8,7,8,10,3,-2,17,17,13,16,14,18,9,12,19,20,24,-1113,-2082,-17,-553,-1592
6,11,20,12,14,20,13,28,15,28,10,17,-16,-8,17,15,17,15,16,16,19,11,18,11,25,-469,251,-2,12,304
0,-20,1,9,3,-1,6,6,-2,25,0,0,-7,-1,-1,6,4,2,2,3,8,7,-5,11,-4,-2348,2796,9,1566,-372
-19,22,-18,-32,-17,-19,-16,-17,-23,16,-13,-14,-2,-29,-21,-17,-16,-17,-19,-19,-12,-17,-20,-18,-29,-2124,3007,15,-384,-2995
5,8,4,3,6,8,13,10,6,-2,5,5,7,6,0,4,1,5,-8,10,81,3,-4,3,-4,-4346,767,0,4017,284
-7,16,6,-2,4,2,6,2,14,22,5,1,11,0,7,4,5,1,2,1,14,0,-1,9,0,181,-244,8,1132,-844
7,1,6,13,6,15,1,5,-1,-11,10,6,-6,9,13,10,9,6,9,10,13,1,10,2,4,154,-583,32,-1932,815
-20,-20,23,37,12,6,8,8,6,4,9,5,-18,-16,11,14,3,13,12,10,15,15,1,17,6,1022,-1234,58,1593,1638
-5,12,-11,-2,-3,-2,0,9,16,3,-5,1,-3,13,-9,2,5,-6,-2,2,17,-8,-4,-7,5,2335,-1744,58,1413,680
14,16,7,7,13,14,13,15,-22,28,8,9,9,16,9,20,22,10,4,14,-79,10,7,8,8,3044,1994,-22,-3955,3048
-5,-7,-1,-13,-4,-10,-5,-15,0,6,-3,-7,5,-10,-1,-7,-4,-2,1,-3,-14,-1,-19,-7,-13,2422,-460,-63,-375,-2203
8,19,25,18,15,17,10,15,9,15,16,16,4,7,22,18,11,23,19,13,18,21,16,13,18,-528,-664,0,4,-54
8,-12,8,23,8,12,11,16,12,11,9,8,9,12,9,14,15,10,10,9,9,6,12,2,8,-245,-194,-10,1788,2928
21,20,7,-7,9,8,13,18,12,50,5,10,29,20,7,4,20,7,6,11,14,3,13,3,11,2357,1909,7,846,490
-44,-38,-50,-43,-42,-46,-50,-45,16,-137,-48,-41,-53,-44,-49,-42,-54,-47,-14,-43,18,-40,-48,-41,-46,-3621,-3958,56,1516,-4604
20,27,7,5,9,15,15,23,8,36,10,18,10,29,7,16,19,10,11,12,15,7,21,3,16,-716,1016,15,178,214
17,29,20,10,22,22,20,16,9,11,8,11,0,4,17,18,15,17,15,19,8,14,22,23,26,-1284,-2035,-17,-508,-1598
-4,3,25,21,12,12,9,-1,-1,66,15,5,1,8,20,11,-6,15,16,8,12,11,8,16,2,-722,-723,-38,3302,-4
19,18,12,23,16,21,15,14,18,-17,16,14,14,21,17,14,20,17,29,8,-6,12,23,14,28,3248,2554,-8,-2332,3288
14,12,8,10,15,11,14,8,8,-17,8,9,10,11,11,18,18,11,14,7,-43,9,12,10,17,3170,2468,1,-1840,3183
3,4,-7,-7,1,0,-1,-3,-39,11,-2,-7,5,11,0,3,7,-1,-13,0,-97,1,-10,-5,-16,3045,2244,-26,-4232,3046
2,7,-16,-22,-9,-9,-10,-7,0,-9,-10,-6,-2,-17,-12,-7,-14,-9,-7,-9,-8,-13,-11,-10,-2,723,-852,6,728,386
-35,-37,-38,-39,-41,-44,-46,-48,-73,-107,-30,-41,-43,-31,-31,-78,-40,-34,-34,-33,-37,-30,-49,-36,-52,4096,1054,69,-5234,3592
7,7,10,5,14,6,17,13,16,22,2,3,20,23,7,5,13,6,0,10,20,3,5,14,10,658,48,2,572,-957
0,-11,-8,1,-6,-2,-2,1,4,0,-2,-4,6,3,-6,-6,3,-7,0,-3,7,-6,-1,-1,-1,4270,-1030,30,433,-764
30,29,31,37,33,30,38,41,58,-9,22,32,35,20,24,64,30,30,44,31,75,28,36,34,39,-3086,2766,-24,1014,-3518
-3,3,-3,-4,-3,-2,-1,-1,5,-2,-2,-4,17,1,-1,-2,-5,-6,-6,-3,-12,-4,1,-2,3,-3028,-1162,-2,598,-1551
-11,-6,-7,-23,-9,-15,-13,-11,-30,-23,-13,-4,-29,-8,-10,10,-25,-8,-18,-14,-31,-6,-14,-3,-13,-3120,-354,46,246,1378
-32,-35,-35,-37,-41,-34,-53,-50,-102,52,-25,-37,-54,-31,-27,-50,-38,-27,-47,-38,-93,-29,-41,-38,-52,2576,-3923,71,-5146,2836
25,22,21,21,18,26,15,22,30,-27,25,25,26,33,19,12,12,20,18,17,47,17,22,9,19,-2056,-1282,15,4030,-1720
0,3,-6,-14,-7,-10,-5,-11,-3,-23,-5,-4,11,-32,-8,10,-18,-5,-4,-8,-19,-5,-4,-7,-19,-3214,-492,54,-1504,1856
1,1,-4,4,-1,2,-5,-5,-31,30,-1,-4,-12,4,0,-12,4,2,8,4,-41,-3,-4,-10,7,584,2748,-50,-2605,2231
4,-2,0,-1,0,4,-4,-2,-7,-17,2,1,0,7,2,-1,4,-1,-3,2,0,-2,1,-4,2,792,775,38,-1490,494
4,15,14,5,10,3,6,1,6,4,11,13,-3,-1,9,24,-2,13,11,7,-10,15,0,11,-7,-3264,16,58,-2658,2540
13,29,15,15,12,17,13,26,19,17,15,21,14,22,12,23,17,18,23,17,23,11,11,1,16,742,-641,66,1126,1435
3,0,0,-1,2,6,1,2,-14,7,0,2,6,7,2,19,11,1,3,1,-63,-1,0,-3,8,3074,2393,0,-1601,3118
0,-4,2,10,-3,2,1,5,0,1,5,3,4,-1,0,-4,3,-1,1,3,-6,0,7,7,3,1300,-1226,26,-138,2215
12,-11,3,11,10,8,13,18,26,16,-4,3,-9,7,1,13,15,7,9,11,31,0,8,11,10,3422,-1980,50,570,343
10,1,-2,1,3,6,7,6,10,7,6,10,9,10,-1,4,-3,-5,-6,2,-21,1,16,4,9,-4615,-618,-94,214,-158
-3,1,3,-4,-6,-2,-4,2,-8,26,-2,0,-11,1,0,1,-1,5,-4,4,-14,1,-9,-2,-1,-3462,444,58,-2982,3076
-39,-39,-45,-30,-38,-33,-45,-43,-43,211,-33,-36,-42,-30,-38,-32,-46,-41,-1,-40,-80,-32,-37,-37,-34,-4165,2570,38,2016,-4340
-16,-25,-7,7,-4,-5,-3,3,-11,21,-11,-11,-10,-11,-11,-5,-2,-7,-6,-7,3,-1,-12,-2,0,-2618,3102,14,-343,-3072
6,2,-8,-16,-7,-4,-7,-4,-1,-1,-1,1,10,-17,-6,-8,-5,-8,-4,-9,-4,3,3,-8,-6,72,-426,8,69,463
10,8,0,-1,7,7,2,1,-39,5,4,-2,5,8,8,5,10,6,-5,3,-94,6,-1,0,-8,2940,649,-28,-5170,2996
-5,2,9,0,10,6,4,1,4,-1,-2,-5,11,-6,6,4,-1,2,-4,2,-5,-3,-3,4,2,-498,-1844,-15,-862,-1714
-7,-8,-9,-27,-8,-24,-10,-31,-5,-17,-9,-12,-8,-35,-12,-11,-21,-10,10,-7,6,-4,-35,-4,-38,-516,1169,46,3404,917
-10,2,-2,-7,-5,-4,-5,-10,-1,-3,-3,-7,-4,-12,0,-1,-5,-2,0,-4,4,-7,-12,-6,-7,3498,-1083,14,708,-1074
-12,8,9,-2,3,1,3,-5,-1,167,0,-8,19,4,5,-8,-24,1,-4,-3,4,-2,-10,1,-1,-1107,-1524,-39,1109,-534
4,2,-1,-1,-6,6,-4,5,-18,38,4,-1,6,21,3,-15,-7,-2,2,0,-78,-4,0,-6,-7,-1220,665,-76,-2964,-270
-27,-34,-33,-21,-30,-32,-32,-39,-3,70,-23,-24,-24,-41,-34,-11,-24,-28,6,-21,-57,-22,-38,-28,-34,-3902,136,38,2418,-4318
-3,-14,-1,2,-5,-4,-6,-5,-8,-8,-1,-5,9,11,-1,-7,-6,-4,-8,-4,-16,-7,-1,-4,-8,-260,-846,-2,-471,2114
14,-12,-4,13,3,10,10,17,16,25,2,4,9,2,4,5,11,1,10,9,12,4,13,7,18,2285,-20,0,96,1900
-23,-25,-33,-29,-24,-21,-28,-25,-30,136,-24,-31,-18,-10,-25,-44,-24,-28,-34,-29,-94,-25,-30,-26,-28,874,-1898,30,-4620,2650
-10,-7,8,18,6,3,6,8,9,-7,7,3,4,2,3,7,6,7,9,4,11,4,-9,1,-5,2492,-2696,34,-72,-418
-27,-23,-6,-13,-14,-17,-15,-10,-8,3,-13,-13,-10,-17,-11,-19,-14,-14,-18,-17,-17,-2,-19,-10,-10,-1212,164,12,-63,-782
16,12,15,28,14,18,4,8,8,11,20,18,7,12,18,18,8,19,22,11,19,12,26,-1,9,1225,236,4,230,-584
-16,-2,2,-1,-3,-6,-7,-7,-8,-14,-8,-9,-14,-19,-3,-4,-11,-1,-3,-5,-7,-2,-13,5,-2,572,-586,5,865,764
0,-13,-3,6,-2,-2,1,-3,6,-9,-2,-3,-3,-1,-1,3,-3,2,1,-1,5,-7,-5,-9,-4,247,-542,27,-1158,40
-3,18,-17,-10,-6,-6,-3,6,13,-1,-7,1,-3,16,-13,-2,2,-10,-6,-1,13,-12,-5,-10,0,2231,-1740,62,1480,670
-26,-41,-10,7,-14,-12,-13,-18,-17,-16,-10,-21,-5,-26,-11,-13,-14,-13,-6,-14,-4,-11,-23,-8,-15,4072,-980,20,538,-1137
-4,7,5,0,4,0,4,10,1,14,-3,0,-1,15,4,3,8,6,0,2,2,5,-5,0,4,-2330,1726,7,-1156,-878
-18,-20,-8,-7,-7,-10,-6,0,-5,9,-13,-12,-11,2,-10,-9,-4,-10,-11,-5,-8,-8,-22,-4,-3,-879,-920,4,-281,-388
-12,-6,-21,-20,-16,-13,-11,-1,-4,10,-15,-9,-13,-4,-16,-16,-7,-18,-16,-13,-11,-13,-11,-9,0,962,-683,9,-138,632
-3,1,16,9,8,13,1,10,-8,-28,7,9,-17,10,12,9,-3,6,8,2,4,9,13,12,13,-3136,-3048,-112,-128,-4430
-17,-5,-1,0,-6,-6,-3,-8,-17,-15,-5,-12,-17,-18,0,-6,-5,-1,-3,-7,-16,-6,-12,-1,-17,-1896,2002,10,-1757,-826
-22,-9,-7,-2,-7,-9,-4,-3,-11,11,-12,-14,-13,-8,-11,-13,-9,-8,-9,-11,-22,-5,-18,-1,-11,-2674,3204,18,712,-3016
-16,-15,-22,-16,-18,-19,-20,-23,-24,-8,-15,-21,-15,-15,-17,-31,-15,-17,-13,-12,-46,-18,-26,-23,-23,1912,3820,-42,-2762,-1700
4,-2,-3,-7,-2,1,-5,-3,-10,-16,-1,0,2,9,-2,-5,2,-3,-6,-1,-2,-4,-1,-4,1,904,1030,38,-1376,366
-17,-18,-16,-22,-9,-14,-17,-19,-13,-18,-16,-20,1,-15,-15,-16,-20,-18,-27,-16,-22,-20,-26,-16,-17,-110,-1834,-12,-1091,-1951
-8,-8,-16,-13,-18,-11,-13,-7,-18,-15,-13,-10,8,4,-18,3,-26,-12,-17,-16,9,-19,-14,-23,-19,-2353,-678,10,2980,-570
-19,-17,0,-2,-9,-8,-10,-10,-15,-16,-8,-12,-13,-16,-5,-13,-11,-9,-14,-8,-26,-9,-6,-3,-8,-204,-367,-6,-436,1975
-36,-39,-40,-39,-44,-44,-47,-50,-58,-122,-31,-41,-44,-46,-33,-74,-40,-34,-39,-36,-22,-31,-47,-37,-47,3150,1100,70,-5350,3298
-17,-11,-20,-17,-20,-18,-15,-17,-4,-16,-13,-15,-4,-20,-19,-27,-13,-20,-21,-16,-34,-11,-16,-11,-14,1962,-2018,-40,-324,2134
-5,-17,-1,-14,-6,-5,-4,-17,4,-64,-7,-10,-1,-21,4,2,-13,-7,-8,-5,6,-6,-7,4,1,-108,-2706,-58,1650,-3586
-6,-9,-15,-29,-12,-25,-13,-28,-1,4,-11,-11,-3,-26,-14,-11,-21,-15,9,-8,7,-9,-29,-10,-30,-22,978,46,2686,430
-2,-22,6,14,2,3,-5,-3,-7,2,4,0,-5,-14,8,4,-5,5,8,4,3,-1,-1,-3,2,742,-1645,5,537,2808
-12,-14,-5,-23,-9,-9,-12,-9,-31,12,-12,-12,-18,-11,-12,-20,-18,-10,-27,-23,-126,-7,-16,-4,-18,-1657,-636,-80,-3120,-66
-3,-3,1,-11,-4,-1,-11,0,-33,7,0,1,-14,3,2,-13,-10,0,-16,-15,-115,-6,1,-12,-6,-1290,760,-76,-3007,89
-5,-24,1,9,-5,-2,-7,-9,-11,-20,6,-3,2,-20,0,-7,-8,-2,-8,-4,-20,-1,-3,0,-11,-676,-558,1,846,2817
6,2,-2,4,1,6,8,22,0,38,-2,6,2,22,-4,3,6,-1,3,2,5,1,9,7,15,-2259,1127,14,52,-740
-11,-12,-12,-10,-11,-16,-18,-26,-42,4,-8,-14,-7,-23,-15,-20,-12,-11,-16,-15,-76,-7,-13,-13,-22,-5204,2094,-30,-2298,2836
9,9,-1,3,0,4,6,6,-2,42,7,9,-2,-6,-1,10,10,3,7,8,13,7,7,6,2,-3571,1708,70,-1975,3144
18,15,17,21,18,21,22,32,41,-27,4,15,16,24,13,48,25,19,26,17,62,12,23,18,28,-3237,2256,-34,523,-3302
6,7,6,6,4,9,7,10,17,28,7,10,-1,18,2,11,1,7,1,7,37,7,3,7,4,-1976,806,64,1560,1518
-15,-14,-6,-13,-9,-12,-7,4,1,19,-13,-8,-10,10,-8,-14,-7,-10,-13,-10,-10,2,-13,-2,-3,-1225,118,9,-56,-742
-26,-26,-24,-26,-27,-27,-25,-29,-23,-12,-25,-28,-15,-17,-23,-27,-26,-24,-20,-23,-20,-18,-32,-23,-25,674,104,-117,1368,-1837
5,15,-23,-30,-15,-2,-9,0,-2,0,-16,-11,13,-21,-17,-13,-4,-15,-10,-11,-11,-10,-5,-20,0,-2144,1836,16,-1522,-1222
-1,-3,4,3,0,2,6,8,23,47,1,3,6,36,5,4,3,3,0,4,28,4,-5,3,8,-3872,-1352,-94,1986,-3605
4,12,2,3,6,7,11,13,15,-27,2,7,-1,-8,-3,12,-1,3,-9,2,10,3,8,7,-2,-4750,452,-6,4378,-1261
3,0,10,15,11,0,11,3,27,-13,-6,3,1,-7,6,43,-12,12,19,6,29,6,9,10,19,-3222,2757,-30,206,-3592
-3,-1,1,5,2,3,5,10,7,-1,-1,4,-8,4,-2,7,-1,1,0,1,0,0,1,3,9,244,-342,20,-708,102
10,13,5,5,4,2,2,1,10,19,6,10,0,18,5,22,1,8,9,6,-14,4,10,2,-5,-3310,246,55,-2776,2898
-9,-4,-8,-21,-10,-14,-14,-10,-29,-27,-10,-2,-27,-7,-10,8,-24,-8,-14,-15,-27,-5,-10,-1,-12,-3138,-22,54,-654,1831
20,-9,28,24,21,20,19,10,14,164,16,10,15,0,26,11,-11,19,21,13,23,20,28,25,12,-833,346,-50,1190,2827
-4,4,6,-14,2,-6,-5,-6,-5,-1,-4,-4,6,4,2,-7,-7,0,-10,-5,-12,1,-9,4,-4,3248,1254,12,1637,514
-8,-7,-10,-9,-15,-8,-12,-9,0,26,-7,-7,8,-23,-14,-8,-8,-11,-14,-9,14,-8,-4,-8,-3,-3015,986,75,1128,2762
47,34,19,11,22,31,26,38,21,-44,12,18,36,58,28,15,26,27,34,27,-3,15,27,18,46,-2492,108,-31,-3502,-3523
18,19,15,15,11,20,11,18,24,-29,14,16,14,25,12,5,6,14,9,9,36,9,24,4,16,-3100,-1610,6,4026,-1915
0,-1,-5,-6,-2,2,4,8,7,14,-4,-2,7,-9,-6,-4,4,-5,0,-2,5,2,-3,5,11,252,-647,2,106,343
-13,6,8,-3,1,1,2,-4,0,138,-3,-9,19,10,3,-7,-21,-1,-4,-4,4,-5,-9,-3,0,-1044,-1584,-41,1262,-764
-31,-30,-27,-40,-33,-31,-39,-23,-82,84,-27,-33,-32,-28,-27,-53,-45,-28,-52,-33,-67,-25,-37,-30,-49,934,-1002,76,-4706,-3475
4,46,13,7,7,10,8,1,4,-29,10,3,15,1,18,2,2,17,9,10,-13,7,7,7,13,-2584,-2581,-38,-3634,-3608
2,-5,2,6,5,4,8,11,12,-6,1,3,0,-9,0,7,8,4,5,4,11,2,-2,3,4,2370,-2713,37,-401,-616
-10,-11,8,18,0,3,-2,4,-3,-9,4,1,-15,10,8,6,1,9,11,2,9,1,-3,-4,-1,1012,-1924,24,-550,-345
-5,-3,-10,-12,-6,-10,-1,-5,-14,66,-11,-15,0,17,-10,-22,-7,-10,-13,-6,-46,-7,-14,4,-16,2974,-2149,-79,-2826,-2724
14,21,24,12,15,15,7,15,7,19,14,18,11,23,21,17,10,22,17,13,17,17,17,5,16,-556,-550,-2,-10,-163
11,14,10,10,3,8,5,8,1,19,12,11,23,-5,9,13,7,12,3,12,-14,10,9,1,7,-3382,-16,65,-2818,2822
16,27,13,12,14,20,20,18,25,17,13,17,20,28,12,14,11,8,14,13,22,10,27,20,34,-2963,-1540,-4,516,-1450
-6,-4,-11,-12,-6,-10,-1,-4,-16,67,-11,-15,-2,16,-10,-22,-8,-11,-12,-6,-45,-7,-15,4,-12,2851,-2172,-78,-2821,-2875
23,22,24,30,24,17,24,15,28,5,21,20,32,19,21,37,23,25,45,21,15,20,20,23,26,3250,2740,-24,-4180,3352
14,14,10,11,13,16,9,14,-22,21,10,13,5,14,11,25,21,11,10,12,-78,9,16,8,19,3034,2146,-12,-3400,3077
1,1,5,4,3,8,8,3,12,19,8,3,0,-5,5,-6,5,2,5,4,-18,7,1,12,2,2661,-1937,-65,-1128,-4376
12,6,-7,-15,0,-3,3,0,8,8,-2,-1,21,0,-4,-5,-1,-6,-7,-2,9,-6,1,5,0,526,62,8,530,-857
-14,-23,-29,-16,-25,-19,-18,-8,-5,8,-19,-15,-8,1,-25,-23,-17,-26,-18,-23,-16,-18,-9,-13,-6,1868,-38,10,392,74
-41,-42,-48,-30,-52,-50,-49,-69,16,-22,-37,-41,-38,-37,-51,-48,-30,-44,2,-38,-6,-37,-43,-43,-47,-3706,-3672,54,1444,3102
-9,-8,16,9,4,0,0,-5,-9,-14,4,-1,-9,-12,9,-1,-3,7,5,3,-3,6,-3,7,-5,264,-956,11,264,2091
6,6,-1,2,0,4,3,10,-1,11,4,6,5,-8,-2,1,4,2,4,-2,-7,2,7,-1,3,-2649,3171,20,598,-3158
-16,-17,-22,-14,-17,-11,-17,-15,-53,-23,-19,-12,-11,-14,-18,46,-21,-16,-17,-19,-52,-22,-12,-28,-20,-4882,1508,-20,-34,-843
1,-5,-12,-17,-11,-9,-13,-11,-11,-6,-8,-7,6,-7,-8,-8,-12,-9,-8,-7,-9,-16,-8,-14,-10,964,-1598,12,382,2706
-10,-7,-5,-8,-6,-9,-8,-10,-10,1,-3,-7,-4,-13,-3,-12,-11,-6,-12,-11,-12,-3,-9,3,-6,3369,1386,12,1618,430
21,-7,-4,-5,2,7,-1,-4,-5,73,0,-1,3,-18,3,0,-14,0,5,0,-1,2,12,4,6,-123,-518,-34,3095,-553
-4,-12,-5,-8,-9,-5,-5,-5,-15,2,-3,-4,12,1,-9,-3,-5,-8,-7,-8,-7,-7,-7,-12,-13,-620,1085,16,262,203
8,11,2,9,8,6,9,13,14,-2,5,10,-8,11,1,8,8,6,10,7,20,5,8,9,5,2840,-2538,42,-114,-6
18,27,0,-10,6,4,1,5,3,8,1,9,9,3,-1,2,5,4,2,5,7,7,11,2,8,-448,-842,0,-176,-1934
8,-4,14,19,9,18,10,13,6,8,16,16,-30,-4,13,12,12,12,13,14,4,14,16,21,16,332,-1346,20,-274,1050
1,-17,6,9,4,3,0,-8,3,-16,-1,-6,9,-8,9,5,-9,3,4,1,10,5,2,3,5,-1113,-3023,-48,-1792,-4320
-3,1,-1,-12,-1,-8,-1,1,8,-9,-3,0,4,13,0,-12,1,-3,-5,-5,12,-1,-6,-4,-1,96,-1059,49,3844,-2114
-23,-5,-21,-30,-23,-20,-20,-19,-21,-14,-18,-16,-16,-14,-23,-27,-21,-26,-25,-25,-23,-13,-16,-16,-19,-727,-768,10,341,835
-31,-33,-39,-48,-41,-37,-52,-47,-106,45,-26,-42,-35,-57,-31,-78,-38,-34,-59,-42,-119,-34,-43,-38,-52,3856,-3488,80,-4952,2850
-6,-5,0,6,-4,3,0,5,-4,3,0,-3,-5,-10,1,-2,1,1,7,-3,-10,-1,-3,0,2,-2524,2007,18,-1588,-1586
-11,6,7,-2,7,8,5,-1,5,6,3,1,0,14,8,31,13,4,4,-27,-20,4,6,11,4,-106,-1638,-14,-2201,-1847
-17,-11,-13,-7,-11,-11,-11,-12,3,10,-17,-17,-16,-2,-8,-5,-11,-9,-3,-5,3,-13,-18,-12,-7,-797,-1717,-68,332,-2742
5,25,31,24,26,19,20,31,17,12,14,15,12,26,25,26,23,28,20,22,30,18,7,17,14,-319,-1260,-32,1352,3824
0,-15,1,13,-1,1,-2,4,5,8,7,3,12,3,5,1,0,3,4,-3,3,2,3,-3,3,119,-394,4,-366,-1544
