FP1,FP2,F3,F4,C3,C4,P3,P4,01,02,F7,F8,P7,P8,Fz,Cz,Pz,FC1,FC2,CP1,CP2,FC5,FC6,CP5,CP6,EMG1,EMG2,IO,EMG3,EMG4
-4,1,-1,-6,-4,2,-3,6,5,20,-5,-1,-4,6,-4,-4,1,-4,-4,-3,0,-1,1,-1,8,-512,646,6,-51,-171
-11,-5,-11,-10,-9,-11,-6,-11,4,-8,-5,-8,-1,-14,-11,-18,-6,-11,-13,-9,-18,-1,-14,-1,-9,2062,-2576,-44,-610,2104
18,20,15,19,15,24,21,27,29,42,21,24,21,35,15,19,13,11,8,12,-23,16,29,23,28,-4596,-932,-86,-9,356
-24,-19,-24,-29,-23,-25,-20,-24,-6,-17,-24,-25,-6,-26,-25,-23,-18,-24,-23,-20,-8,-22,-33,-22,-23,1600,-747,-78,288,-2947
16,-5,-5,-2,-1,5,-1,5,3,-4,8,7,16,-5,-1,-1,-1,-1,-3,-1,-9,-2,6,-1,-3,-32,-986,-5,614,3115
9,-13,-2,6,-5,3,-10,-4,-12,-16,5,4,-4,2,1,-2,-10,-2,1,-6,2,-4,18,-7,-2,-870,-928,-2,747,1162
13,4,10,13,11,17,9,11,12,-2,11,8,18,-22,14,17,3,9,12,10,13,5,18,5,12,-3700,-1704,-106,158,-2304
15,-8,-5,-10,0,2,-3,-8,-8,76,-3,-5,4,-23,0,-3,-18,-2,1,-2,-3,0,4,3,3,-124,-433,-34,3068,-276
2,7,-3,2,-3,5,8,7,-2,66,-1,3,-7,10,-4,12,2,-3,3,7,21,1,7,0,0,-3592,804,74,-1606,3202
-24,-29,-27,-15,-31,-27,-32,-40,-21,70,-16,-17,-38,-33,-28,-12,-27,-26,26,-19,-63,-14,-26,-24,-29,-4240,1819,44,989,-3866
-3,-30,-17,-5,-14,-10,-11,-7,0,-10,-8,-9,7,1,-17,-12,-11,-15,-14,-13,-16,-11,-9,-12,-16,1242,-358,29,14,-130
-3,-21,-9,-6,-6,-10,-3,-7,-8,-13,-6,-8,1,-9,-11,-18,-4,-10,-17,-8,-8,-4,-6,3,-4,1106,1386,42,-717,158
-7,-5,-4,-9,-6,-8,-11,-12,1,5,-8,-8,0,-15,-3,0,-3,0,-4,-4,13,-7,-14,-16,-1,208,-497,-108,1222,-1780
20,18,20,19,19,23,15,21,16,-4,14,15,27,40,22,21,6,16,18,12,0,11,27,11,22,-2014,-3498,-114,-150,-5304
-12,-7,-9,-23,-10,-15,-15,-11,-32,-26,-13,-3,-34,-8,-11,7,-25,-9,-17,-16,-29,-6,-13,-1,-12,-3136,-140,52,-216,1694
2,14,-1,-9,-1,-2,-1,1,4,6,-5,-4,14,0,-2,-1,1,3,-2,-1,-7,0,-7,-10,-5,-2834,1614,12,-1558,-734
20,5,6,10,7,12,5,7,9,2,14,13,13,8,11,8,7,9,12,10,11,5,17,-3,4,414,-912,16,488,2284
-5,-2,-9,-22,-16,-14,-7,-29,-6,-97,-2,-9,15,5,-1,-7,-17,-16,-10,-9,9,-12,-7,-1,-8,-1498,-3134,-44,1620,-4544
-26,-19,-10,-15,-14,-17,-17,-20,-21,-20,-13,-14,-32,-31,-14,-16,-19,-15,-16,-15,-17,-3,-20,-9,-22,1551,-500,7,-59,1202
-10,-7,-9,-10,-4,-14,-4,-12,3,12,-11,-10,-14,-15,-10,-7,-4,-6,-6,-3,17,-4,-16,-5,-10,1264,-57,-76,1096,-3711
6,7,11,18,14,17,13,25,-43,21,5,13,-11,18,10,52,18,13,14,10,-31,16,15,12,16,-5082,1292,-30,-2176,477
3,-9,-2,4,4,3,6,16,2,2,-5,-1,-13,14,3,6,6,4,2,5,-2,-5,-4,2,3,462,-1176,-38,1202,3746
-25,-21,-25,-31,-26,-29,-22,-18,-17,-24,-24,-23,-3,-7,-25,-28,-24,-27,-32,-26,-130,-24,-30,-22,-22,-458,-276,50,3820,270
9,7,2,13,7,10,6,6,18,-22,4,3,16,27,6,4,11,6,21,-2,-15,1,9,0,17,3288,2564,-7,-2225,3222
-6,-9,26,30,15,19,14,24,14,24,16,15,-15,-11,21,16,17,17,18,16,19,13,14,12,16,-418,386,-3,12,232
8,4,-8,-12,-4,-5,-7,-7,-7,-21,-5,-2,-1,-2,-5,3,-4,0,-4,-2,0,-12,-6,-15,-8,1822,-2446,38,-390,-968
16,29,14,4,9,14,3,9,2,-3,8,11,5,8,10,11,4,13,10,11,9,1,20,0,4,-568,-3224,-17,495,2904
-12,-6,-12,-11,-12,-12,-8,-12,2,-11,-6,-10,-1,-15,-13,-20,-7,-13,-15,-10,-22,-4,-14,-3,-10,2036,-2394,-42,-502,2074
-9,-5,1,-6,-4,-4,-6,5,1,11,-9,-6,-1,1,-2,-3,-2,-1,-1,-5,1,-1,-9,-3,1,794,-612,-4,226,-106
0,-22,-21,-18,-14,-12,-7,-8,-3,2,-10,-9,1,-15,-15,-15,-7,-18,-14,-13,-11,-8,-7,-9,-13,-1213,-260,10,-62,-346
16,17,19,15,15,18,15,12,10,21,17,15,8,-8,17,14,13,17,20,18,-4,19,15,17,15,2578,-963,-66,-146,-2340
9,2,16,17,10,20,12,16,12,13,17,17,-16,-5,15,13,14,12,14,15,6,14,15,21,17,534,-1358,19,-284,1131
-2,-2,0,4,-1,4,-5,-3,11,7,-4,-8,-1,-7,5,7,6,5,10,5,6,-2,-9,-13,-7,2096,-524,-88,1043,-2230
-10,-23,1,8,-2,-4,-3,-3,-2,3,-1,-4,-2,-2,-2,-5,-1,-2,0,-2,3,-7,-10,-3,-3,4576,-594,22,-328,1456
-4,-4,-12,-9,-8,-9,-4,-3,2,11,-1,0,1,0,-10,-11,-4,-12,-13,-6,-7,-6,-2,-6,-10,-630,26,14,-77,-374
5,8,11,3,7,8,8,2,10,20,6,4,9,1,10,6,6,7,16,10,-1,8,2,7,7,2352,-498,-62,-392,-2330
-14,-13,-14,-10,-10,-13,-15,-17,-23,11,-7,-15,-14,-12,-9,-23,44,-10,-4,-2,-41,-10,-20,-18,-19,1814,4220,-40,-2812,-2350
-1,-19,-17,-16,-13,-8,-6,-7,-5,-2,-14,-14,-2,-4,-14,-13,-10,-14,-12,-11,-10,-11,-10,-8,-11,-1266,10,4,-130,-666
-29,-36,-33,-32,-34,-26,-28,-23,-16,-21,-34,-36,-3,1,-30,-31,-24,-34,-28,-34,-23,-32,-35,-31,-26,-364,-420,-92,144,-2524
14,15,10,11,14,17,12,17,-20,26,10,13,7,19,11,25,23,12,10,14,-76,9,14,9,20,3011,1982,-14,-3516,3066
-4,-4,-2,3,-3,-1,5,-3,6,32,-2,-8,3,9,0,-9,3,-3,4,1,-9,2,-5,5,-8,2486,-676,-74,368,-2028
-13,-23,-13,-15,-13,-14,-12,-8,-8,4,-15,-14,-9,-3,-14,-13,-9,-14,-15,-11,-13,-14,-18,-12,-12,-652,-961,8,-274,-282
2,5,1,3,-2,6,2,6,10,46,3,5,3,-4,-2,5,7,0,0,4,26,4,7,2,7,-3048,1039,76,848,2992
6,-2,-13,-9,-3,1,3,9,4,16,-10,-4,0,16,-9,-4,5,-7,-5,-1,2,3,-4,0,4,-1007,104,12,-171,-1238
28,29,22,18,27,28,22,22,-28,38,23,19,13,20,25,18,26,24,14,19,-74,27,22,21,12,2981,-1140,-30,-5336,2992
-12,-12,-7,-6,-6,-8,-8,-11,6,10,-15,-18,-6,-4,-6,-4,-2,-4,1,-2,6,-11,-23,-14,-11,1482,-501,-86,1002,-2388
-6,-27,-30,-23,-16,-19,-12,-7,0,-14,-29,-22,-13,-6,-27,-12,-12,-21,-18,-16,2,-26,-21,-15,-18,3526,-2154,45,408,498
16,25,17,11,23,16,29,25,24,29,10,13,18,28,17,15,27,14,15,23,12,14,16,26,24,13,-218,0,478,-653
24,27,17,8,16,12,15,19,13,-1,17,18,19,21,21,22,19,23,14,18,6,15,10,8,-1,-464,-710,-32,1590,3784
-9,2,0,0,-5,2,-3,0,-5,-1,0,-4,0,-14,-1,-5,-2,-3,0,-6,-4,-2,-1,-4,-9,-1784,3266,10,224,-1824
-24,-17,-17,-24,-18,-14,-23,-7,-48,-37,-23,-26,-23,-24,-21,-33,-24,-18,-34,-21,-35,-17,-30,-22,-35,-3660,3400,90,-1833,-3837
16,7,22,10,15,12,11,10,8,16,16,14,16,1,21,11,11,17,10,9,19,13,18,18,14,3272,1702,1,1440,404
4,5,7,1,2,8,5,3,-20,70,8,1,6,2,3,-1,6,4,6,0,-46,5,0,7,-11,1794,-222,-73,-2891,-1618
-24,-24,-27,-29,-26,-29,-23,-19,-20,-27,-24,-21,-8,-11,-26,-27,-25,-28,-31,-26,-131,-23,-27,-23,-20,76,-495,51,3736,180
-1,-9,1,3,5,-2,8,7,-2,29,-1,0,-10,1,-2,6,5,2,1,5,10,10,-11,16,-2,-2222,2814,10,1550,-640
11,10,11,6,12,16,9,11,8,14,11,9,5,15,12,5,-5,7,-9,2,-29,11,14,15,3,-4098,-1274,-96,-824,1096
19,15,7,2,11,13,3,5,-47,48,12,1,-5,-3,17,-11,31,15,-6,19,-106,9,1,7,-10,2701,-4282,13,-4166,2754
5,7,21,28,20,18,19,24,34,22,10,13,-2,7,16,23,24,19,19,21,42,13,14,15,17,2864,-1859,56,794,522
3,3,1,-9,-4,-6,-7,-4,-18,-36,0,3,7,-5,-1,14,-12,2,-10,-7,-53,0,0,-3,-12,-3009,-236,54,1156,1300
-32,-38,-39,-27,-40,-39,-44,-54,6,-52,-28,-25,-53,-27,-40,-30,-36,-35,21,-34,-11,-33,-39,-43,-40,-3880,-1242,50,1543,-3802
-3,8,-11,-18,-7,-7,-8,-4,-1,-9,-10,-6,-4,-21,-10,-6,-12,-6,-6,-7,-6,-10,-11,-6,2,678,-794,6,728,461
-4,-2,-8,-3,-4,2,0,5,-13,-25,-9,-4,7,4,-8,35,-8,-3,-9,-8,-9,-9,-6,-7,-5,-4803,1345,-16,2770,-1067
-13,-13,-6,-6,-5,-9,-6,-11,6,11,-15,-17,-6,-4,-6,-4,-2,-4,1,-1,7,-9,-23,-12,-10,1684,-528,-86,1201,-2436
-17,-12,-9,-17,-10,-8,-14,-16,-24,-34,-14,-17,-19,-29,-15,-30,-5,-13,-25,-12,-53,-34,-16,-23,-17,3258,-3651,85,-830,-3693
-9,-6,-10,-11,-10,-7,-3,-4,13,-4,-9,-9,4,-7,-13,-8,-13,-9,-16,-8,25,-11,-16,-6,-12,-1898,282,25,2253,346
-8,-7,20,18,12,8,4,8,-2,12,3,5,-37,-6,12,10,3,14,14,11,12,12,4,14,11,614,-1290,0,896,2803
