Unnamed: 0,FP1,FP2,F3,F4,C3,C4,P3,P4,01,02,F7,F8,P7,P8,Fz,Cz,Pz,FC1,FC2,CP1,CP2,FC5,FC6,CP5,CP6,EMG1,EMG2,IO,EMG3,EMG4
1229,-7,-8,-9,-27,-8,-24,-10,-31,-5,-17,-9,-12,-8,-35,-12,-11,-21,-10,10,-7,6,-4,-35,-4,-38,-516,1169,46,3404,917
1230,-10,2,-2,-7,-5,-4,-5,-10,-1,-3,-3,-7,-4,-12,0,-1,-5,-2,0,-4,4,-7,-12,-6,-7,3498,-1083,14,708,-1074
1231,-12,8,9,-2,3,1,3,-5,-1,167,0,-8,19,4,5,-8,-24,1,-4,-3,4,-2,-10,1,-1,-1107,-1524,-39,1109,-534
1232,4,2,-1,-1,-6,6,-4,5,-18,38,4,-1,6,21,3,-15,-7,-2,2,0,-78,-4,0,-6,-7,-1220,665,-76,-2964,-270
1233,-27,-34,-33,-21,-30,-32,-32,-39,-3,70,-23,-24,-24,-41,-34,-11,-24,-28,6,-21,-57,-22,-38,-28,-34,-3902,136,38,2418,-4318
1234,-3,-14,-1,2,-5,-4,-6,-5,-8,-8,-1,-5,9,11,-1,-7,-6,-4,-8,-4,-16,-7,-1,-4,-8,-260,-846,-2,-471,2114
1235,14,-12,-4,13,3,10,10,17,16,25,2,4,9,2,4,5,11,1,10,9,12,4,13,7,18,2285,-20,0,96,1900
1236,-23,-25,-33,-29,-24,-21,-28,-25,-30,136,-24,-31,-18,-10,-25,-44,-24,-28,-34,-29,-94,-25,-30,-26,-28,874,-1898,30,-4620,2650
1237,-10,-7,8,18,6,3,6,8,9,-7,7,3,4,2,3,7,6,7,9,4,11,4,-9,1,-5,2492,-2696,34,-72,-418
1238,-27,-23,-6,-13,-14,-17,-15,-10,-8,3,-13,-13,-10,-17,-11,-19,-14,-14,-18,-17,-17,-2,-19,-10,-10,-1212,164,12,-63,-782
1239,16,12,15,28,14,18,4,8,8,11,20,18,7,12,18,18,8,19,22,11,19,12,26,-1,9,1225,236,4,230,-584
1240,-16,-2,2,-1,-3,-6,-7,-7,-8,-14,-8,-9,-14,-19,-3,-4,-11,-1,-3,-5,-7,-2,-13,5,-2,572,-586,5,865,764
1241,0,-13,-3,6,-2,-2,1,-3,6,-9,-2,-3,-3,-1,-1,3,-3,2,1,-1,5,-7,-5,-9,-4,247,-542,27,-1158,40
1242,-3,18,-17,-10,-6,-6,-3,6,13,-1,-7,1,-3,16,-13,-2,2,-10,-6,-1,13,-12,-5,-10,0,2231,-1740,62,1480,670
1243,-26,-41,-10,7,-14,-12,-13,-18,-17,-16,-10,-21,-5,-26,-11,-13,-14,-13,-6,-14,-4,-11,-23,-8,-15,4072,-980,20,538,-1137
1244,-4,7,5,0,4,0,4,10,1,14,-3,0,-1,15,4,3,8,6,0,2,2,5,-5,0,4,-2330,1726,7,-1156,-878
1245,-18,-20,-8,-7,-7,-10,-6,0,-5,9,-13,-12,-11,2,-10,-9,-4,-10,-11,-5,-8,-8,-22,-4,-3,-879,-920,4,-281,-388
1246,-12,-6,-21,-20,-16,-13,-11,-1,-4,10,-15,-9,-13,-4,-16,-16,-7,-18,-16,-13,-11,-13,-11,-9,0,962,-683,9,-138,632
1247,-3,1,16,9,8,13,1,10,-8,-28,7,9,-17,10,12,9,-3,6,8,2,4,9,13,12,13,-3136,-3048,-112,-128,-4430
1248,-17,-5,-1,0,-6,-6,-3,-8,-17,-15,-5,-12,-17,-18,0,-6,-5,-1,-3,-7,-16,-6,-12,-1,-17,-1896,2002,10,-1757,-826
1249,-22,-9,-7,-2,-7,-9,-4,-3,-11,11,-12,-14,-13,-8,-11,-13,-9,-8,-9,-11,-22,-5,-18,-1,-11,-2674,3204,18,712,-3016
1250,-16,-15,-22,-16,-18,-19,-20,-23,-24,-8,-15,-21,-15,-15,-17,-31,-15,-17,-13,-12,-46,-18,-26,-23,-23,1912,3820,-42,-2762,-1700
1251,4,-2,-3,-7,-2,1,-5,-3,-10,-16,-1,0,2,9,-2,-5,2,-3,-6,-1,-2,-4,-1,-4,1,904,1030,38,-1376,366
1252,-17,-18,-16,-22,-9,-14,-17,-19,-13,-18,-16,-20,1,-15,-15,-16,-20,-18,-27,-16,-22,-20,-26,-16,-17,-110,-1834,-12,-1091,-1951
1253,-8,-8,-16,-13,-18,-11,-13,-7,-18,-15,-13,-10,8,4,-18,3,-26,-12,-17,-16,9,-19,-14,-23,-19,-2353,-678,10,2980,-570
1254,-19,-17,0,-2,-9,-8,-10,-10,-15,-16,-8,-12,-13,-16,-5,-13,-11,-9,-14,-8,-26,-9,-6,-3,-8,-204,-367,-6,-436,1975
1255,-36,-39,-40,-39,-44,-44,-47,-50,-58,-122,-31,-41,-44,-46,-33,-74,-40,-34,-39,-36,-22,-31,-47,-37,-47,3150,1100,70,-5350,3298
1256,-17,-11,-20,-17,-20,-18,-15,-17,-4,-16,-13,-15,-4,-20,-19,-27,-13,-20,-21,-16,-34,-11,-16,-11,-14,1962,-2018,-40,-324,2134
1257,-5,-17,-1,-14,-6,-5,-4,-17,4,-64,-7,-10,-1,-21,4,2,-13,-7,-8,-5,6,-6,-7,4,1,-108,-2706,-58,1650,-3586
1258,-6,-9,-15,-29,-12,-25,-13,-28,-1,4,-11,-11,-3,-26,-14,-11,-21,-15,9,-8,7,-9,-29,-10,-30,-22,978,46,2686,430
1259,-2,-22,6,14,2,3,-5,-3,-7,2,4,0,-5,-14,8,4,-5,5,8,4,3,-1,-1,-3,2,742,-1645,5,537,2808
